clean_address,crime_count,most_frequent_crime
BURDICK ST     ,1,SIMPLE ASSAULT
BURLINGAME RD,2,OFFN AGAINST FAMILY
BURLINGAME RD     ,2,LARCENY
BURNET,38,SIMPLE ASSAULT
BURNET        ,19,CRIMINAL MISCHIEF
BURNET AL     ,1,LARCENY
BURNET ARPT,1,CRIMINAL MISCHIEF
BURNET AV,173,SIMPLE ASSAULT
BURNET AV ,3,MV THEFT
BURNET AV   ,110,LARCENY
BURNET AV     ,323,LARCENY
BURNET AV & GALE AV        ,1,LARCENY
BURNET AV & MATHER ST        ,1,LARCENY
BURNET AV & N BEECH ST        ,1,ROBBERY
BURNET AVE,16,SIMPLE ASSAULT
BURNET AVE  ,1,MV THEFT
BURNET AVE    ,115,CRIMINAL MISCHIEF
BURNET PARK DR,6,CRIMINAL MISCHIEF
BURNET PARK DR   ,3,LARCENY
BURNET PARK DR     ,24,LARCENY
BURNET PARK SOUTH ENT.        ,1,POSSESSION/USE DRUG
BURNETT        ,1,CRIMINAL MISCHIEF
BURNETT AV,2,POSSESSION/MARIJUANA
BURNETT AV     ,2,AGGRAVATED ASSAULT
BURNETT PARK DR     ,1,LARCENY
BURNINGTREE RD,1,POSSESSION/USE DRUG
BURNS,2,ALL OTHER OFFENSES
BURNS        ,1,SIMPLE ASSAULT
BURNS AV,5,CRIMINAL MISCHIEF
BURNS AV   ,5,MV THEFT
BURNS AV     ,14,CRIMINAL MISCHIEF
BURNS AVE    ,5,CRIMINAL MISCHIEF
BURT AV     ,1,LARCENY
BURT ST,68,SIMPLE ASSAULT
BURT ST   ,2,AGGRAVATED ASSAULT
BURT ST     ,159,SIMPLE ASSAULT
BURT ST & S MCBRIDE ST    ,1,MV THEFT
BURTEN ST,2,BURGLARY
BURTEN ST     ,2,CRIMINAL MISCHIEF
BUTLER ST     ,1,MV THEFT
BUTTERNUT        ,3,LARCENY
BUTTERNUT AV     ,1,LARCENY
BUTTERNUT SCH    ,1,POSSESSION/USE DRUG
BUTTERNUT SQ,1,POSSESSION/USE DRUG
BUTTERNUT SQ     ,2,LARCENY
BUTTERNUT ST,620,LARCENY
BUTTERNUT ST ,2,MURDER
BUTTERNUT ST   ,38,LARCENY
BUTTERNUT ST     ,1849,LARCENY
BUTTERNUT ST & GRASSMAN AV        ,1,LARCENY
BUTTERNUT ST & JOSEPHINE ST  ,1,AGGRAVATED ASSAULT
BUTTERNUT ST & LODI ST        ,2,LARCENY
BUTTERNUT ST & N TOWNSEND ST ST,1,LARCENY
BUTTERNUT ST & SCHNEIDER ST        ,2,MV THEFT
BUTTERNUT ST TO NB I 81 RAMP,1,LARCENY
BUTTERNUT ST/ LODI ST        ,1,LARCENY
BUTTERNUT TER    ,1,MV THEFT
BUTTNERNUT ST,1,SIMPLE ASSAULT
BYRNE PL,5,MV THEFT
BYRNE PL     ,11,SIMPLE ASSAULT
Butternut ST   ,1,ROBBERY
CADILLAC ST,3,LARCENY
CADILLAC ST     ,11,LARCENY
CADWELL PL     ,2,CRIMINAL MISCHIEF
CADWELL ST,4,FRAUD
CADWELL ST     ,12,CRIMINAL MISCHIEF
CAGE CT     ,1,CRIMINAL MISCHIEF
CALDWELL ST     ,1,OFFN AGAINST FAMILY
CALEB,1,CRIMINAL MISCHIEF
CALEB        ,3,SIMPLE ASSAULT
CALEB AV,19,CRIMINAL MISCHIEF
CALEB AV   ,16,BURGLARY
CALEB AV     ,23,LARCENY
CALEB AVE    ,19,SIMPLE ASSAULT
CALVIN RD     ,1,SIMPLE ASSAULT
CAMBRIDGE ST,5,LARCENY
CAMBRIDGE ST   ,1,BURGLARY
CAMBRIDGE ST     ,12,LARCENY
CAMILLUS HEIGHTS WAY    ,1,POSSESSION/USE DRUG
CAMP,4,SIMPLE ASSAULT
CAMP AV,6,LARCENY
CAMP AV   ,2,LARCENY
CAMP AV     ,17,CRIMINAL MISCHIEF
CAMP AVE    ,5,SIMPLE ASSAULT
CANAL ST,35,MV THEFT
CANAL ST   ,5,BURGLARY
CANAL ST     ,146,MV THEFT
CANAL ST & TEALL AVE,1,LARCENY
CANDEE,1,BURGLARY
CANDEE        ,2,BURGLARY
CANDEE AV,1,BURGLARY
CANDEE AV   ,2,MV THEFT
CANDEE AV     ,2,CRIMINAL MISCHIEF
CANDEE AV & SALT SPRINGS RD        ,1,MV THEFT
CANDEE AVE    ,2,CRIMINAL MISCHIEF
CANDLELIGHT CIR    ,1,POSSESSION/USE DRUG
CANNON AT W OSTRANDE ST,1,SIMPLE ASSAULT
CANNON ST,111,SIMPLE ASSAULT
CANNON ST   ,3,AGGRAVATED ASSAULT
CANNON ST     ,189,SIMPLE ASSAULT
CANNON ST & W BRIGHTON AV    ,1,MV THEFT
CANNON ST & W NEWELL ST        ,1,AGGRAVATED ASSAULT
CANNON ST AT FERNWOO        ,1,AGGRAVATED ASSAULT
CARBON        ,1,AGGRAVATED ASSAULT
CARBON AND JOHN ST     ,1,KIDNAPPING
